,National,California,Rest of Nation
1/22/20,1,0,1
1/23/20,1,0,1
1/24/20,2,0,2
1/25/20,2,0,2
1/26/20,5,2,3
1/27/20,5,2,3
1/28/20,5,2,3
1/29/20,5,2,3
1/30/20,5,2,3
1/31/20,7,3,4
2/1/20,8,3,5
2/2/20,8,3,5
2/3/20,11,6,5
2/4/20,11,6,5
2/5/20,11,6,5
2/6/20,11,6,5
2/7/20,11,6,5
2/8/20,11,6,5
2/9/20,11,6,5
2/10/20,11,6,5
2/11/20,12,7,5
2/12/20,12,7,5
2/13/20,13,8,5
2/14/20,13,8,5
2/15/20,13,8,5
2/16/20,13,8,5
2/17/20,13,8,5
2/18/20,13,8,5
2/19/20,13,8,5
2/20/20,13,8,5
2/21/20,15,10,5
2/22/20,15,10,5
2/23/20,15,10,5
2/24/20,15,10,5
2/25/20,15,10,5
2/26/20,15,10,5
2/27/20,16,11,5
2/28/20,16,11,5
2/29/20,24,12,12
3/1/20,30,12,18
3/2/20,53,21,32
3/3/20,73,25,48
3/4/20,104,35,69
3/5/20,172,51,121
3/6/20,217,59,158
3/7/20,336,81,255
3/8/20,450,95,355
3/9/20,514,101,413
3/10/20,708,144,564
3/11/20,1105,178,927
3/12/20,1557,221,1336
3/13/20,2147,281,1866
3/14/20,2857,372,2485
3/15/20,2918,373,2545
3/16/20,4307,557,3750
3/17/20,6096,700,5396
3/18/20,8873,828,8045
3/19/20,14094,1005,13089
3/20/20,19403,1243,18160
3/21/20,25725,1405,24320
3/22/20,33634,1646,31988
3/23/20,43663,2108,41555
3/24/20,53736,2538,51198
3/25/20,65778,2998,62780
3/26/20,83836,3899,79937
3/27/20,101657,4657,97000
3/28/20,121465,5095,116370
3/29/20,140909,5852,135057
3/30/20,161831,7138,154693
3/31/20,188172,8210,179962
4/1/20,213362,9399,203963
4/2/20,243762,10773,232989
4/3/20,275586,12004,263582
4/4/20,308853,12837,296016
4/5/20,337072,15034,322038
4/6/20,366667,16019,350648
4/7/20,396223,17351,378872
4/8/20,429052,18897,410155
4/9/20,461437,19710,441727
4/10/20,496535,21081,475454
4/11/20,526396,21706,504690
4/12/20,555313,22795,532518
4/13/20,580619,23931,556688
4/14/20,607670,25356,582314
4/15/20,636350,26686,609664
